id	data	x	y	z	theta	size	parent	uniqueCode
2	Images/大阪大/MainPanel.png,Wooden_thin2	-15.21997	49.5	28.24005	-44.00002,85.87968,0	6	9	15
3	Images/長崎大/MainPanel.png,Wooden_thin2	40.00996	50	26.71004	-134.4002,85.87967,0	6	9	16
4	Images/東大/MainPanel.png,Wooden_thin2	-15.08002	49.5	-28.77007	46.00003,85.47267,0	6	9	17
5	Images/北大/MainPanel.png,Wooden_thin2	43.4799	50	-31.66007	-227.5988,85.47263,0	6	9	18
6	Videos/nagasaki.mp4	-0.01	20.5	0.04	0,0,0	7	18	34
8	Videos/osaka.mp4	-0.02	20	0.01	0,0,0	7	21	53
9	Videos/tokyo.mp4	0	20	0	0,0,0	7	24	78
10	Videos/hokkaido.mp4	0	20.5	0	0,0,0	7	25	80
